Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Happy New Year,Super Trouper,1980,4:23,4,0.51,0.375,9,-9.185,1,0.0288,0.813,0,0.145,0.25,132.552,51
Me And I,Super Trouper,1980,4:54,4,0.659,0.781,4,-8.132,1,0.0274,0.183,0.0731,0.138,0.6,113.429,49
The Piper,Super Trouper,1980,3:26,4,0.417,0.552,9,-9.103,1,0.0321,0.275,0.0000588,0.0914,0.423,177.302,40
"The Way Old Friends Do - Live At Wembley Arena, London, England / 1979",Super Trouper,1980,2:55,3,0.1,0.502,2,-8.558,1,0.0348,0.725,0.0000293,0.362,0.305,164.667,39
Elaine,Super Trouper,1980,3:44,4,0.592,0.867,7,-7.537,1,0.0427,0.282,0.0113,0.177,0.903,153.353,37
Put On Your White Sombrero,Super Trouper,1980,4:32,3,0.464,0.603,0,-7.725,1,0.0281,0.62,0.00063,0.312,0.594,81.668,35
Slipping Through My Fingers,The Visitors,1981,3:55,4,0.473,0.424,5,-9.143,1,0.03,0.769,0.0000299,0.237,0.275,137.039,44
One Of Us,The Visitors,1981,3:59,4,0.65,0.552,7,-8.53,1,0.0381,0.509,0.000244,0.035,0.856,82.217,39
The Visitors,The Visitors,1981,5:48,4,0.622,0.598,2,-9.79,1,0.0296,0.0744,0.000299,0.119,0.719,131.183,38
Head Over Heels,The Visitors,1981,3:48,4,0.828,0.747,1,-6.839,0,0.035,0.537,0.00000505,0.137,0.767,121.43,35
When All Is Said And Done,The Visitors,1981,3:18,4,0.723,0.679,2,-7.517,1,0.0357,0.424,0.000056,0.317,0.71,126.028,35
The Day Before You Came,The Visitors,1981,5:53,4,0.809,0.532,0,-9.695,0,0.0304,0.0226,0.00222,0.0752,0.731,107.554,32
Soldiers,The Visitors,1981,4:40,3,0.551,0.636,9,-7.846,1,0.0264,0.186,0.0000758,0.0552,0.887,89.155,30
I Let The Music Speak,The Visitors,1981,5:22,3,0.412,0.273,0,-9.561,0,0.0318,0.81,0.00000986,0.0697,0.179,129.855,30
Under Attack,The Visitors,1981,3:51,4,0.887,0.682,4,-7.795,1,0.0436,0.195,0.0503,0.0623,0.962,115.7,30
Two For The Price Of One,The Visitors,1981,3:38,4,0.685,0.489,2,-9.869,1,0.032,0.32,0.0132,0.25,0.68,112.431,29
Like An Angel Passing Through My Room,The Visitors,1981,3:34,4,0.542,0.139,5,-19.019,1,0.0359,0.688,0.0000222,0.38,0.263,107.15,28
Should I Laugh Or Cry,The Visitors,1981,4:32,4,0.764,0.538,10,-10.562,1,0.0289,0.257,0.0403,0.101,0.538,105.78,28
Cassandra,The Visitors,1981,4:56,3,0.414,0.49,0,-7.679,1,0.0365,0.737,0,0.0577,0.423,159.722,28
Just A Notion,Voyage,2021,3:31,4,0.584,0.795,0,-5.705,1,0.0287,0.259,0.000361,0.302,0.83,131.997,52
When You Danced With Me,Voyage,2021,2:50,4,0.477,0.687,2,-6.469,1,0.0295,0.385,0.00394,0.403,0.724,88.001,50
Don't Shut Me Down,Voyage,2021,3:56,4,0.727,0.575,0,-8.247,1,0.0286,0.105,0,0.113,0.55,99.991,50
Little Things,Voyage,2021,3:08,4,0.647,0.165,10,-16.328,1,0.0315,0.894,0.00187,0.116,0.59,75.978,48
Keep An Eye On Dan,Voyage,2021,4:05,4,0.67,0.591,2,-8.385,0,0.0266,0.728,0.000484,0.134,0.407,115.977,48
I Still Have Faith In You,Voyage,2021,5:09,3,0.445,0.337,5,-8.485,1,0.0281,0.412,0.00000634,0.126,0.381,75.041,47
I Can Be That Woman,Voyage,2021,4:01,4,0.588,0.358,10,-11.302,1,0.0337,0.837,0,0.106,0.366,133.932,45
Bumblebee,Voyage,2021,3:57,3,0.455,0.271,10,-11.129,1,0.0295,0.722,0.000138,0.31,0.227,135.016,44
Ode To Freedom,Voyage,2021,3:32,4,0.354,0.245,4,-13.671,1,0.0288,0.879,0.734,0.107,0.213,75.041,41
No Doubt About It,Voyage,2021,2:56,4,0.615,0.707,2,-5.909,1,0.0288,0.2,0,0.0729,0.795,149.981,40
